id,name,description,data,active,share_flag,created_by,modified_by,deleted_by,created_at,modified_at,deleted_at,rvs,type,parsed_rule
238,Set review flag for estab,"

If TYPOP_CODE_STAT == '4X' and RCPT_COMSN_GSV_VAL + RCPT_OWN_VAL != RCPT_TOT_VAL, then a message will be sent to set the review flag for ESTAB and track the fact [""TYPOP_CODE_STAT""]. The action to be taken if the rule is successful is ""Set Review for Flag"" with a priority of 5 on a scale of 1-10. No API has been defined for this rule, which was created on Mon Jan 23 2023 09:51:49 GMT-0500 (Eastern Standard Time).","{""event"": {""name"": ""Set review flag for estab"", ""type"": 238, ""active"": true, ""params"": {""action"": [{""Action"": ""\""Set Review for Flag\""""}], ""message"": ""Setting the review flag for ESTAB."", ""rvsJSON"": [""TYPOP_CODE_STAT""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 238, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""estab""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""TYPOP_CODE_STAT == '4X' and RCPT_COMSN_GSV_VAL + RCPT_OWN_VAL != RCPT_TOT_VAL""}, ""operator"": ""equal""}]}}",TRUE,NULL,NULL,NULL,NULL,52:23.5,52:23.5,NULL,NULL,estab,"{""event"": {""name"": ""Set review flag for estab"", ""type"": 238, ""active"": true, ""params"": {""action"": [{""Action"": ""\""Set Review for Flag\""""}], ""message"": ""Setting the review flag for ESTAB."", ""rvsJSON"": [""TYPOP_CODE_STAT""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 238, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""estab""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""TYPOP_CODE_STAT == '4X' and RCPT_COMSN_GSV_VAL + RCPT_OWN_VAL != RCPT_TOT_VAL""}, ""operator"": ""equal""}]}}"
176,"#9: If total inventory doesn't equal the sum of LIFO and non-LIFO, analyst review","<h2>Rule Definition: #9: If total inventory doesn't equal the sum of LIFO and non-LIFO, analyst review</h2><p><br></p><p> If the value of INV_CY_TOT does not equal the sum of INV_CY_LIFO_VAL and INV_CY_NONLIFO_TOT, then a message should be sent to set a review flag and track the facts PAY_ANN. Additionally, the action RCPT_TOT should be performed. This rule is of type KAU, and has a priority of 5 on a scale of 1 to 10. No API has been defined.</p>","{""event"": {""name"": ""#9: If total inventory doesn't equal the sum of LIFO and non-LIFO, analyst review"", ""type"": 176, ""active"": true, ""params"": {""rvs"": ""[\""PAY_ANN\""]"", ""action"": [{""RCPT_TOT"": ""RCPT_TOT""}], ""message"": ""Set review flag"", ""rvsJSON"": [""PAY_ANN""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 176, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""KAU""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""INV_CY_TOT != sum(INV_CY_LIFO_VAL, INV_CY_NONLIFO_TOT)""}, ""operator"": ""equal""}]}}",TRUE,NULL,NULL,NULL,NULL,20:17.3,20:17.4,NULL,NULL,KAU,"{""event"": {""name"": ""#9: If total inventory doesn't equal the sum of LIFO and non-LIFO, analyst review"", ""type"": 176, ""active"": true, ""params"": {""rvs"": ""[\""PAY_ANN\""]"", ""action"": [{""RCPT_TOT"": ""RCPT_TOT""}], ""message"": ""Set review flag"", ""rvsJSON"": [""PAY_ANN""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 176, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""KAU""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""INV_CY_TOT != sum(INV_CY_LIFO_VAL, INV_CY_NONLIFO_TOT)""}, ""operator"": ""equal""}]}}"
167,Getting substrings from variables and strings.,"<h2>Rule Definition: Getting substrings from variables and strings.</h2><p><br></p><p>This rule is a simple rule with a priority of 5 on a scale of 1-10 that states: If RCPT_TOT is greater than 0, display a message and track the facts of PAY_ANN. Additionally, perform the substrFunction action of substr(name1, 0, 10). No API has been defined.</p>","{""event"": {""name"": ""Getting substrings from variables and strings."", ""type"": ""167"", ""active"": true, ""params"": {""rvs"": ""[\""PAY_ANN\""]"", ""action"": [{""substrFunction"": ""substr(name1, 0, 10)""}], ""message"": ""Enter the message you want to display... . Some initial conditions have been pre-defined."", ""rvsJSON"": [""PAY_ANN""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 167, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""Getting Started""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""RCPT_TOT > 0""}, ""operator"": ""equal""}]}}",TRUE,NULL,NULL,NULL,NULL,24:56.5,22:09.4,NULL,NULL,Getting Started,"{""event"": {""name"": ""Getting substrings from variables and strings."", ""type"": ""167"", ""active"": true, ""params"": {""rvs"": ""[\""PAY_ANN\""]"", ""action"": [{""substrFunction"": ""substr(name1, 0, 10)""}], ""message"": ""Enter the message you want to display... . Some initial conditions have been pre-defined."", ""rvsJSON"": [""PAY_ANN""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 167, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""Getting Started""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""RCPT_TOT > 0""}, ""operator"": ""equal""}]}}"
256,Hazardous Material,,"{""event"": {""name"": ""Hazardous Material"", ""type"": 256, ""active"": true, ""params"": {""action"": [{""RCPT_MOTR_HAZRD_STAT"": ""2""}], ""message"": ""Hazardous Material rule fired"", ""rvsJSON"": [""PAY_ANN""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 256, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""new""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""substr(RECORD_NAICS_NUM, 1,3)== 484 and RCPT_MOTR_HAZRD_STAT == 1 and RCPT_MOTR_HAZRD_PCT == 0 ""}, ""operator"": ""equal""}]}}",TRUE,NULL,NULL,NULL,NULL,26:27.3,28:08.8,NULL,NULL,new,"{""event"": {""name"": ""Hazardous Material"", ""type"": 256, ""active"": true, ""params"": {""action"": [{""RCPT_MOTR_HAZRD_STAT"": ""2""}], ""message"": ""Hazardous Material rule fired"", ""rvsJSON"": [""PAY_ANN""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 256, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""new""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""substr(RECORD_NAICS_NUM, 1,3)== 484 and RCPT_MOTR_HAZRD_STAT == 1 and RCPT_MOTR_HAZRD_PCT == 0 ""}, ""operator"": ""equal""}]}}"
100,VALIDATE_RCPT_TOT_IS_UNSIGNED_INTEGER,<p>RCPT_TOT must be greater than 0</p>,"{""event"": {""name"": ""VALIDATE_RCPT_TOT_IS_UNSIGNED_INTEGER"", ""type"": ""100"", ""active"": true, ""params"": {""rvs"": ""[\""RCPT_TOT\""]"", ""action"": [{""RCPT_TOT"": ""RCPT_TOT""}], ""message"": ""RCPT_TOT has a non zero value."", ""rvsJSON"": [""RCPT_TOT""], ""apiSource"": {}, ""actionType"": ""notify"", ""apiChecked"": false}, ""ruleId"": 100, ""actionType"": ""notify"", ""rulePriority"": ""5"", ""validationType"": ""validation""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""RCPT_TOT > 0 ""}, ""operator"": ""equal""}]}}",TRUE,NULL,NULL,NULL,NULL,00:25.5,24:50.8,NULL,NULL,validation,"{""event"": {""name"": ""VALIDATE_RCPT_TOT_IS_UNSIGNED_INTEGER"", ""type"": ""100"", ""active"": true, ""params"": {""rvs"": ""[\""RCPT_TOT\""]"", ""action"": [{""RCPT_TOT"": ""RCPT_TOT""}], ""message"": ""RCPT_TOT has a non zero value."", ""rvsJSON"": [""RCPT_TOT""], ""apiSource"": {}, ""actionType"": ""notify"", ""apiChecked"": false}, ""ruleId"": 100, ""actionType"": ""notify"", ""rulePriority"": ""5"", ""validationType"": ""validation""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""RCPT_TOT > 0 ""}, ""operator"": ""equal""}]}}"
168,Business aggregations for PAY_ANN using averages.,"<h2>Rule Definition: Business aggregations for PAY_ANN using averages.</h2><p><br></p><p>If agg(""PAY_ANN"", ""state = 'MD'"", 'avg') is less than agg(""PAY_ANN"", ""state = 'VA'"", 'avg') then a message should be sent.</p>","{""event"": {""name"": ""Business aggregations for PAY_ANN using averages."", ""type"": ""168"", ""active"": true, ""params"": {""rvs"": ""[\""PAY_ANN\"",\""CAPEX_BUILD_USED\"",\""CAPEX_NEW_TOT\""]"", ""action"": [{""PAY_ANN_MD_SUM"": ""agg(\""PAY_ANN\"", \""state = 'MD'\"")""}, {""PAY_ANN_VA_SUM"": ""agg(\""PAY_ANN\"", \""state = 'VA'\"")""}, {""PAY_ANN_MD_AVG"": ""agg(\""PAY_ANN\"", \""state = 'MD'\"", \""avg\"")""}, {""PAY_ANN_VA_AVG"": ""agg(\""PAY_ANN\"", \""state = 'VA'\"", \""avg\"")""}, {""PAY_ANN_PLUS_100"": ""PAY_ANN + 1000""}, {""PAY_ANN"": ""PAY_ANN""}], ""message"": ""Aggregating with agg(\""PAY_ANN\"", \""state = 'MD'\"") will do a computation and agg(\""PAY_ANN\"", \""state = 'MD'\"", 'avg') will compute the average"", ""rvsJSON"": [""PAY_ANN"", ""CAPEX_BUILD_USED"", ""CAPEX_NEW_TOT""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 168, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""Business Aggregation""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""agg(\""PAY_ANN\"", \""state = 'MD'\"") < agg(\""PAY_ANN\"", \""state = 'VA'\"")""}, ""operator"": ""equal""}]}}",TRUE,NULL,NULL,NULL,NULL,39:29.3,14:03.1,NULL,NULL,Business Aggregation,"{""event"": {""name"": ""Business aggregations for PAY_ANN using averages."", ""type"": ""168"", ""active"": true, ""params"": {""rvs"": ""[\""PAY_ANN\"",\""CAPEX_BUILD_USED\"",\""CAPEX_NEW_TOT\""]"", ""action"": [{""PAY_ANN_MD_SUM"": ""agg(\""PAY_ANN\"", \""state = 'MD'\"")""}, {""PAY_ANN_VA_SUM"": ""agg(\""PAY_ANN\"", \""state = 'VA'\"")""}, {""PAY_ANN_MD_AVG"": ""agg(\""PAY_ANN\"", \""state = 'MD'\"", \""avg\"")""}, {""PAY_ANN_VA_AVG"": ""agg(\""PAY_ANN\"", \""state = 'VA'\"", \""avg\"")""}, {""PAY_ANN_PLUS_100"": ""PAY_ANN + 1000""}, {""PAY_ANN"": ""PAY_ANN""}], ""message"": ""Aggregating with agg(\""PAY_ANN\"", \""state = 'MD'\"") will do a computation and agg(\""PAY_ANN\"", \""state = 'MD'\"", 'avg') will compute the average"", ""rvsJSON"": [""PAY_ANN"", ""CAPEX_BUILD_USED"", ""CAPEX_NEW_TOT""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 168, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""Business Aggregation""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""agg(\""PAY_ANN\"", \""state = 'MD'\"") < agg(\""PAY_ANN\"", \""state = 'VA'\"")""}, ""operator"": ""equal""}]}}"
177,If ecommerce status = 2 (no) then the value for e-commerce should be 0,"<h2>Rule Definition: If ecommerce status = 2 (no) then the value for e-commerce should be 0</h2><p><br></p><p> This is a KAU (Knowledge Automation Unit) rule with a priority of 5 on a scale of 1-10. If RCPT_ECOMM_STAT == 2, then a message should be displayed that states: ""Some initial conditions have been pre-defined."" and track the facts [""PAY_ANN""]. The following action should also be performed: {""RCPT_ECOMM_VAL "":""0""}. No API has been defined for this rule.</p>","{""event"": {""name"": ""If ecommerce status = 2 (no) then the value for e-commerce should be 0"", ""type"": ""177"", ""active"": true, ""params"": {""rvs"": ""[\""PAY_ANN\""]"", ""action"": [{""RCPT_ECOMM_VAL "": ""0""}], ""message"": ""Enter the message you want to display... . Some initial conditions have been pre-defined."", ""rvsJSON"": [""PAY_ANN""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 177, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""KAU""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""RCPT_ECOMM_STAT == 2 ""}, ""operator"": ""equal""}]}}",TRUE,NULL,NULL,NULL,NULL,23:32.5,24:38.9,NULL,NULL,KAU,"{""event"": {""name"": ""If ecommerce status = 2 (no) then the value for e-commerce should be 0"", ""type"": ""177"", ""active"": true, ""params"": {""rvs"": ""[\""PAY_ANN\""]"", ""action"": [{""RCPT_ECOMM_VAL "": ""0""}], ""message"": ""Enter the message you want to display... . Some initial conditions have been pre-defined."", ""rvsJSON"": [""PAY_ANN""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 177, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""KAU""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""RCPT_ECOMM_STAT == 2 ""}, ""operator"": ""equal""}]}}"
236,If respondent reports they do not use LIFO for inventory valuation,"<p>If the respondent reports that they do not use LIFO for inventory valuation, then set the INV_LIFO_VAL to 0 and track the values of INV_LIFO_VAL and INV_LIFO_STAT. This rule has a priority of 5 on a scale of 1-10, and was created on Mon Jan 23 2023 09:42:40 GMT-0500 (Eastern Standard Time). No API has been defined for this rule.</p>","{""event"": {""name"": ""If respondent reports they do not use LIFO for inventory valuation"", ""type"": ""236"", ""active"": true, ""params"": {""rvs"": ""[\"" INV_LIFO_VAL\"",\""  INV_LIFO_STAT\""]"", ""action"": [{""\nINV_LIFO_VAL "": "" 0""}], ""message"": ""If respondent reports they do not use LIFO for inventory valuation, then set the value on inventories using the LIFO method to 0"", ""rvsJSON"": ["" INV_LIFO_VAL"", ""  INV_LIFO_STAT""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 236, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""KAU""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""INV_LIFO_STAT != 0""}, ""operator"": ""equal""}]}}",TRUE,NULL,NULL,NULL,NULL,43:13.2,48:35.2,NULL,NULL,KAU,"{""event"": {""name"": ""If respondent reports they do not use LIFO for inventory valuation"", ""type"": ""236"", ""active"": true, ""params"": {""rvs"": ""[\"" INV_LIFO_VAL\"",\""  INV_LIFO_STAT\""]"", ""action"": [{""\nINV_LIFO_VAL "": "" 0""}], ""message"": ""If respondent reports they do not use LIFO for inventory valuation, then set the value on inventories using the LIFO method to 0"", ""rvsJSON"": ["" INV_LIFO_VAL"", ""  INV_LIFO_STAT""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 236, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""KAU""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""INV_LIFO_STAT != 0""}, ""operator"": ""equal""}]}}"
242,"if they reported sales as commissions, set sales = GSV","

If the initial conditions are met, display the message: ""Please adjust the sales value to match the GSV value"".

Track the facts [""PAY_ANN""].

Upon successful rule execution, set RCPT_TOT = RCPT_TOT.

Priority: 5/10

No API has been defined.

Created at: Mon Jan 23 2023 11:58:00 GMT-0500 (Eastern Standard Time)","{""event"": {""name"": ""if they reported sales as commissions, set sales = GSV"", ""type"": 242, ""active"": true, ""params"": {""action"": [{""RCPT_TOT_VAL "": "" RCPT_COMSN_GSV_VAL""}], ""message"": ""if they reported sales as commissions, set sales = GSV"", ""rvsJSON"": [""RCPT_COMSN_GSV_VAL "", "" RCPT_TOT_VAL "", "" RCPT_TOT_VAL "", "" RCPT_COMSN_EARN_VAL""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 242, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""estab""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""TYPOP_CODE_STAT == '4X' and RCPT_OWN_VAL == 0 and RCPT_COMSN_GSV_VAL != RCPT_TOT_VAL and RCPT_COMSN_GSV_VAL > RCPT_TOT_VAL and RCPT_TOT_VAL == RCPT_COMSN_EARN_VAL""}, ""operator"": ""equal""}]}}",TRUE,NULL,NULL,NULL,NULL,59:30.9,59:31.0,NULL,NULL,estab,"{""event"": {""name"": ""if they reported sales as commissions, set sales = GSV"", ""type"": 242, ""active"": true, ""params"": {""action"": [{""RCPT_TOT_VAL "": "" RCPT_COMSN_GSV_VAL""}], ""message"": ""if they reported sales as commissions, set sales = GSV"", ""rvsJSON"": [""RCPT_COMSN_GSV_VAL "", "" RCPT_TOT_VAL "", "" RCPT_TOT_VAL "", "" RCPT_COMSN_EARN_VAL""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 242, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""estab""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""TYPOP_CODE_STAT == '4X' and RCPT_OWN_VAL == 0 and RCPT_COMSN_GSV_VAL != RCPT_TOT_VAL and RCPT_COMSN_GSV_VAL > RCPT_TOT_VAL and RCPT_TOT_VAL == RCPT_COMSN_EARN_VAL""}, ""operator"": ""equal""}]}}"
237,"if lifo status is ""no"" but there's a value for LIFO_VAL or the lifo reserve","<p>If INV_LIFO_STAT != 1 and (INV_LIFO_VAL &gt; 0 or INV_LIFO_RSV_VAL &gt; 0) then send a message: ""Set the yes/no to 'yes' and track these facts: [INV_LIFO_STAT]. Also, perform the following actions, if the rule is successful: INV_LIFO_STAT = 1."" This rule has a priority of 5 on a scale of 1-10, and was created on Mon Jan 23 2023 09:45:58 GMT-0500 (Eastern Standard Time). No API has been defined for this rule.</p>","{""event"": {""name"": ""if lifo status is \""no\"" but there's a value for LIFO_VAL or the lifo reserve"", ""type"": ""237"", ""active"": true, ""params"": {""rvs"": ""[\""INV_LIFO_STAT\""]"", ""action"": [{""INV_LIFO_STAT "": "" 1""}], ""message"": ""if lifo status is \""no\"" but there's a value for LIFO_VAL or the lifo reserve, set the yes/no to \""yes\"""", ""rvsJSON"": [""INV_LIFO_STAT""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 237, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""KAU""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""INV_LIFO_STAT != 1 and (INV_LIFO_VAL > 0 or INV_LIFO_RSV_VAL > 0)""}, ""operator"": ""equal""}]}}",TRUE,NULL,NULL,NULL,NULL,46:20.7,48:17.3,NULL,NULL,KAU,"{""event"": {""name"": ""if lifo status is \""no\"" but there's a value for LIFO_VAL or the lifo reserve"", ""type"": ""237"", ""active"": true, ""params"": {""rvs"": ""[\""INV_LIFO_STAT\""]"", ""action"": [{""INV_LIFO_STAT "": "" 1""}], ""message"": ""if lifo status is \""no\"" but there's a value for LIFO_VAL or the lifo reserve, set the yes/no to \""yes\"""", ""rvsJSON"": [""INV_LIFO_STAT""], ""apiSource"": {}, ""actionType"": ""impute"", ""apiChecked"": false}, ""ruleId"": 237, ""actionType"": ""impute"", ""rulePriority"": ""5"", ""validationType"": ""KAU""}, ""index"": -1, ""conditions"": {""all"": [{""fact"": ""checkCondition"", ""path"": ""$.value"", ""value"": true, ""params"": {""conditionstring"": ""INV_LIFO_STAT != 1 and (INV_LIFO_VAL > 0 or INV_LIFO_RSV_VAL > 0)""}, ""operator"": ""equal""}]}}"
